순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,장르,등급,영화구분,screens,total_viewer,directors,main_actor_list,ntz_score_list,ntz_count_list,running_time_list
1,명량,김한민,(주)빅스톤픽쳐스,,씨제이이앤엠(주),2014-07-30,개봉영화,장편,한국,사극,15세이상관람가,일반영화,1587,17613682,김한민,"최민식, 류승룡, 조진웅",8.44,66942,128
2,극한직업,이병헌,"(주)어바웃필름,영화사 해그림 주식회사,씨제이이앤엠(주)",,씨제이이앤엠(주),2019-01-23,개봉영화,장편,한국,코미디,15세이상관람가,일반영화,1978,16264944,이병헌,"류승룡, 이하늬, 진선규",8.5,47516,111
3,신과함께-죄와 벌,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,개봉영화,장편,한국,판타지,12세이상관람가,일반영화,1912,14410754,김용화,"하정우, 차태현, 주지훈",7.83,58111,139
4,국제시장,윤제균,"(주)제이케이필름,씨제이이앤엠(주)",,씨제이이앤엠(주),2014-12-17,개봉영화,장편,한국,드라마,12세이상관람가,일반영화,966,14245998,윤제균,"황정민, 김윤진, 오달수",9.01,41698,126
5,어벤져스: 엔드게임,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-04-24,개봉영화,장편,미국,액션,12세이상관람가,일반영화,2835,13934592,안소니 루소,"로버트 다우니 주니어, 크리스 에반스, 크리스 헴스워스",9.38,69022,181
6,베테랑,류승완,"(주)외유내강,(주)필름케이",,씨제이이앤엠(주),2015-08-05,개봉영화,장편,한국,액션,15세이상관람가,일반영화,1064,13395400,류승완,"황정민, 유아인, 유해진",9.01,40966,123
7,겨울왕국 2,"크리스 벅,제니퍼 리",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-11-21,개봉영화,장편,미국,애니메이션,전체관람가,일반영화,2648,13369087,크리스 벅,"크리스틴 벨, 이디나 멘젤",8.7,23948,103
8,도둑들,최동훈,(주)케이퍼필름,,(주)쇼박스,2012-07-25,개봉영화,장편,한국,액션,15세이상관람가,일반영화,1072,12983330,최동훈,"김윤석, 김혜수, 이정재",7.62,20957,135
9,7번방의 선물,이환경,"(주)화인웍스,(주)씨엘엔터테인먼트",,(주)넥스트엔터테인먼트월드(NEW),2013-01-23,개봉영화,장편,한국,코미디,15세이상관람가,일반영화,787,12811206,이환경,"류승룡, 박신혜, 갈소원",8.83,46219,127
10,암살,최동훈,(주)케이퍼필름,,(주)쇼박스,2015-07-22,개봉영화,장편,한국,액션,15세이상관람가,일반영화,1519,12705700,최동훈,"전지현, 이정재, 하정우",8.97,41081,139
11,알라딘,가이 리치,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-05-23,개봉영화,장편,미국,어드벤처,전체관람가,일반영화,1311,12552283,가이 리치,"메나 마수드, 윌 스미스, 나오미 스콧",9.38,27192,128
12,"광해, 왕이 된 남자",추창민,"리얼라이즈픽쳐스(주),씨제이이앤엠(주)",,씨제이이앤엠(주),2012-09-13,개봉영화,장편,한국,사극,15세이상관람가,일반영화,810,12319542,추창민,"이병헌, 류승룡, 한효주",9.24,27953,131
13,신과함께-인과 연,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-01,개봉영화,장편,한국,판타지,12세이상관람가,일반영화,2235,12253247,김용화,"하정우, 주지훈, 김향기",7.71,40460,141
