url_list,movie_names,kr_movie_names,director_list,main_actor_list,ntz_score_list,ntz_count_list,running_time_list
/movie/bi/mi/basic.nhn?code=47385,국가대표,국가대표,김용화,"하정우, 성동일, 김지석",9.13,40700,137
/movie/bi/mi/basic.nhn?code=17170,레옹,레옹,뤽 베송,"장 르노, 나탈리 포트만",9.37,9548,132
/movie/bi/mi/basic.nhn?code=18847,타이타닉,타이타닉,제임스 카메론,"레오나르도 디카프리오, 케이트 윈슬렛",9.38,21782,194
/movie/bi/mi/basic.nhn?code=53951,더 코브: 슬픈 돌고래의 진실,더 코브: 슬픈 돌고래의 진실,루이 시호요스,"조 치숌, 맨디-래 크루이크생크",9.27,1589,91
/movie/bi/mi/basic.nhn?code=10200,터미네이터 2 - 심판의 날,터미네이터 2:오리지널,제임스 카메론,아놀드 슈왈제네거,9.44,7400,137
/movie/bi/mi/basic.nhn?code=14450,쉰들러 리스트,쉰들러 리스트,스티븐 스필버그,리암 니슨,9.36,3694,196
/movie/bi/mi/basic.nhn?code=10740,JFK,JFK,올리버 스톤,케빈 코스트너,9.17,901,189
/movie/bi/mi/basic.nhn?code=22126,인생은 아름다워,인생은 아름다워,로베르토 베니니,"로베르토 베니니, 니콜레타 브라스키",9.4,12148,116
/movie/bi/mi/basic.nhn?code=17541,굿바이 마이 프랜드,굿바이 마이 프랜드,피터 호튼,"조셉 마젤로, 브래드 렌프로, 다이아나 스카위드",9.36,2607,97
/movie/bi/mi/basic.nhn?code=10102,사운드 오브 뮤직,사운드 오브 뮤직,로버트 와이즈,"줄리 앤드류스, 크리스토퍼 플러머, 엘레노 파커",9.4,4550,172
/movie/bi/mi/basic.nhn?code=10002,백 투 더 퓨쳐,빽 투 더 퓨쳐,로버트 저메키스,"마이클 J. 폭스, 크리스토퍼 로이드, 리 톰슨",9.4,3111,120
/movie/bi/mi/basic.nhn?code=17421,쇼생크 탈출,쇼생크 탈출,프랭크 다라본트,"팀 로빈스, 모건 프리먼",9.44,18018,142
/movie/bi/mi/basic.nhn?code=24452,매트릭스,매트릭스,"릴리 워쇼스키, 라나 워쇼스키","키아누 리브스, 로렌스 피시번",9.4,4827,136
/movie/bi/mi/basic.nhn?code=32686,센과 치히로의 행방불명,센과 치히로의 행방불명,미야자키 하야오,"히이라기 루미, 이리노 미유",9.39,13284,126
/movie/bi/mi/basic.nhn?code=29657,프리퀀시,프리퀀시,그레고리 호블릿,"데니스 퀘이드, 제임스 카비젤",9.32,6157,117
/movie/bi/mi/basic.nhn?code=17159,포레스트 검프,포레스트 검프,로버트 저메키스,톰 행크스,9.4,7992,142
/movie/bi/mi/basic.nhn?code=10048,죽은 시인의 사회,죽은 시인의 사회,피터 위어,로빈 윌리엄스,9.37,7315,128
/movie/bi/mi/basic.nhn?code=70251,마이클 잭슨의 디스 이즈 잇,마이클 잭슨의 디스 이즈 잇,케니 오테가,마이클 잭슨,9.26,2102,111
/movie/bi/mi/basic.nhn?code=16218,쿨 러닝,쿨 러닝,존 터틀타웁,"리온, 더그 E. 더그, 롤 D. 루이스",9.24,1435,95
/movie/bi/mi/basic.nhn?code=10016,나 홀로 집에,나 홀로 집에,크리스 콜럼버스,"맥컬리 컬킨, 조 페시, 다니엘 스턴",9.41,4226,105
/movie/bi/mi/basic.nhn?code=10001,시네마 천국,시네마 천국,쥬세페 토르나토레,"마르코 레오나르디, 필립 느와레, 자끄 페렝",9.31,3815,124
/movie/bi/mi/basic.nhn?code=50672,킹콩을 들다,킹콩을 들다,박건용,"이범수, 조안",9.23,8545,120
/movie/bi/mi/basic.nhn?code=17162,브레이브하트,브레이브하트,멜 깁슨,"멜 깁슨, 소피 마르소, 패트릭 맥구한",9.26,2297,177
/movie/bi/mi/basic.nhn?code=69105,월-E,월-E,앤드류 스탠튼,"벤 버트, 엘리사 나이트, 제프 갈린",9.41,10094,104
/movie/bi/mi/basic.nhn?code=16521,라이온 킹,라이온 킹,"로저 알러스, 롭 민코프","조나단 테일러 토마스, 매튜 브로데릭, 제임스 얼 존스",9.29,2222,89
