url_list,movie_names
/movie/bi/mi/basic.nhn?code=171539,그린 북
/movie/bi/mi/basic.nhn?code=174830,가버나움
/movie/bi/mi/basic.nhn?code=169240,아일라
/movie/bi/mi/basic.nhn?code=151196,원더
/movie/bi/mi/basic.nhn?code=157243,당갈
/movie/bi/mi/basic.nhn?code=17421,쇼생크 탈출
/movie/bi/mi/basic.nhn?code=156464,보헤미안 랩소디
/movie/bi/mi/basic.nhn?code=154667,덕구
/movie/bi/mi/basic.nhn?code=22126,인생은 아름다워
/movie/bi/mi/basic.nhn?code=82432,헬프
/movie/bi/mi/basic.nhn?code=17159,포레스트 검프
/movie/bi/mi/basic.nhn?code=106360,위대한 쇼맨
/movie/bi/mi/basic.nhn?code=10048,죽은 시인의 사회
/movie/bi/mi/basic.nhn?code=161850,아이 캔 스피크
/movie/bi/mi/basic.nhn?code=134899,동주
/movie/bi/mi/basic.nhn?code=17541,굿바이 마이 프랜드
/movie/bi/mi/basic.nhn?code=31162,캐스트 어웨이
/movie/bi/mi/basic.nhn?code=12482,여인의 향기
/movie/bi/mi/basic.nhn?code=147092,히든 피겨스
/movie/bi/mi/basic.nhn?code=34324,집으로...
/movie/bi/mi/basic.nhn?code=14450,쉰들러 리스트
/movie/bi/mi/basic.nhn?code=19079,굿 윌 헌팅
/movie/bi/mi/basic.nhn?code=10114,아마데우스
/movie/bi/mi/basic.nhn?code=152655,달링
/movie/bi/mi/basic.nhn?code=73476,그대를 사랑합니다
/movie/bi/mi/basic.nhn?code=14448,패왕별희
/movie/bi/mi/basic.nhn?code=34227,아이 엠 샘
/movie/bi/mi/basic.nhn?code=103535,소원
/movie/bi/mi/basic.nhn?code=31013,빌리 엘리어트
/movie/bi/mi/basic.nhn?code=142632,미스 슬로운
/movie/bi/mi/basic.nhn?code=35187,피아니스트
/movie/bi/mi/basic.nhn?code=51172,지상의 별처럼
/movie/bi/mi/basic.nhn?code=39584,코러스
/movie/bi/mi/basic.nhn?code=71081,블라인드 사이드
/movie/bi/mi/basic.nhn?code=12297,우리들의 일그러진 영웅
/movie/bi/mi/basic.nhn?code=17869,일급 살인
/movie/bi/mi/basic.nhn?code=10001,시네마 천국
/movie/bi/mi/basic.nhn?code=70651,내 이름은 칸
/movie/bi/mi/basic.nhn?code=167787,허스토리
/movie/bi/mi/basic.nhn?code=10021,록키
/movie/bi/mi/basic.nhn?code=169561,뷰티풀 투모로우
/movie/bi/mi/basic.nhn?code=29571,천국의 아이들
/movie/bi/mi/basic.nhn?code=79762,세상에서 가장 아름다운 이별
/movie/bi/mi/basic.nhn?code=51083,맨발의 꿈
/movie/bi/mi/basic.nhn?code=70773,바람
/movie/bi/mi/basic.nhn?code=15899,공동경비구역 JSA
/movie/bi/mi/basic.nhn?code=75413,도가니
/movie/bi/mi/basic.nhn?code=150376,"나, 다니엘 블레이크"
/movie/bi/mi/basic.nhn?code=100654,또 하나의 약속
/movie/bi/mi/basic.nhn?code=151752,온리 더 브레이브
/movie/bi/mi/basic.nhn?code=146504,우리들
/movie/bi/mi/basic.nhn?code=41375,신데렐라 맨
/movie/bi/mi/basic.nhn?code=16531,인생
/movie/bi/mi/basic.nhn?code=10185,로미오와 줄리엣
/movie/bi/mi/basic.nhn?code=71932,친정엄마
/movie/bi/mi/basic.nhn?code=29953,집으로 가는 길
/movie/bi/mi/basic.nhn?code=83893,"광해, 왕이 된 남자"
/movie/bi/mi/basic.nhn?code=29059,피아니스트의 전설
/movie/bi/mi/basic.nhn?code=18817,8월의 크리스마스
/movie/bi/mi/basic.nhn?code=16218,쿨 러닝
/movie/bi/mi/basic.nhn?code=182699,사랑의 선물
/movie/bi/mi/basic.nhn?code=34010,뷰티풀 마인드
/movie/bi/mi/basic.nhn?code=30306,시월애
/movie/bi/mi/basic.nhn?code=50672,킹콩을 들다
/movie/bi/mi/basic.nhn?code=36718,투게더
/movie/bi/mi/basic.nhn?code=63403,타인의 삶
/movie/bi/mi/basic.nhn?code=158191,1987
/movie/bi/mi/basic.nhn?code=68031,똥파리
/movie/bi/mi/basic.nhn?code=39436,말아톤
